date,up1,up2,up3,up4,up5,y
2020-07-01,0,0,0,0,0,0
2020-07-02,0,0,0,0,0,0
2020-07-03,0,0,0,0,0,0
2020-07-04,0,0,0,0,0,0
2020-07-05,0,0,0,0,0,0
2020-07-06,0,0,0,0,0,0
2020-07-07,0,0,0,0,0,0
2020-07-08,0,0,0,0,0,0
2020-07-09,0,0,0,0,0,0
2020-07-10,0,0,0,0,0,0
2020-07-11,0,0,0,0,0,0
2020-07-12,0,0,0,0,0,0
2020-07-13,0,0,0,0,0,0
2020-07-14,0,0,0,0,0,0
2020-07-15,0,0,0,0,0,0
2020-07-16,0,0,0,0,0,0
2020-07-17,0,0,0,0,0,0
2020-07-18,0,0,0,0,0,0
2020-07-19,0,0,0,0,0,0
2020-07-20,0,0,0,0,0,0
2020-07-21,0,0,0,0,0,0
2020-07-22,0,0,0,0,0,0
2020-07-23,0,0,0,0,0,0
2020-07-24,0,0,0,0,0,0
2020-07-25,0,0,0,0,0,0
2020-07-26,0,0,0,0,0,0
2020-07-27,0,0,0,0,0,0
2020-07-28,0,0,0,0,0,0
2020-07-29,0,0,0,0,0,0
2020-07-30,0,0,0,0,0,0
2020-07-31,0,0,0,0,0,0
2020-08-01,0,0,0,0,0,0
2020-08-02,0,0,0,0,0,0
2020-08-03,0,0,0,0,0,0
2020-08-04,0,0,0,0,0,0
2020-08-05,0,0,0,0,0,0
2020-08-06,0,0,0,0,0,0
2020-08-07,0,0,0,0,0,0
2020-08-08,0,0,0,0,0,0
2020-08-09,0,0,0,0,0,0
2020-08-10,0,0,0,0,0,0
2020-08-11,0,0,0,0,0,0
2020-08-12,0,0,0,0,0,0
2020-08-13,0,0,0,0,0,0
2020-08-14,0,0,0,0,0,0
2020-08-15,0,0,0,0,0,0
2020-08-16,0,0,0,0,0,0
2020-08-17,0,0,0,0,0,0
2020-08-18,0,0,0,0,0,0
2020-08-19,0,0,0,0,0,0
2020-08-20,0,0,0,0,0,0
2020-08-21,0,0,0,0,0,0
2020-08-22,0,0,0,0,0,0
2020-08-23,0,0,0,0,0,0
2020-08-24,0,0,0,0,0,0
2020-08-25,0,0,0,0,0,0
2020-08-26,0,0,0,0,0,0
2020-08-27,0,0,0,0,0,0
2020-08-28,0,0,0,0,0,0
2020-08-29,0,0,0,0,0,0
2020-08-30,0,0,0,0,0,0
2020-08-31,0,0,0,0,0,0
2020-09-01,0,0,0,0,0,0
2020-09-02,0,0,0,0,0,0
2020-09-03,0,0,0,0,0,0
2020-09-04,0,0,0,0,0,0
2020-09-05,0,0,0,0,0,0
2020-09-06,0,0,0,0,0,0
2020-09-07,0,0,0,0,0,0
2020-09-08,0,0,0,0,0,0
2020-09-09,0,0,0,0,0,0
2020-09-10,0,0,0,0,0,0
2020-09-11,0,0,0,0,0,0
2020-09-12,0,0,0,0,0,0
2020-09-13,0,0,0,0,0,0
2020-09-14,0,0,0,0,0,0
2020-09-15,0,0,0,0,0,0
2020-09-16,0,0,0,0,0,0
2020-09-17,0,0,0,0,0,0
2020-09-18,0,0,0,0,0,0
2020-09-19,0,0,0,0,0,0
2020-09-20,0,0,0,0,0,0
2020-09-21,0,0,0,0,0,0
2020-09-22,0,0,0,0,0,0
2020-09-23,0,0,0,0,0,0
2020-09-24,0,0,0,0,0,0
2020-09-25,0,0,0,0,0,0
2020-09-26,0,0,0,0,0,0
2020-09-27,0,0,0,0,0,0
2020-09-28,0,0,0,0,0,0
2020-09-29,0,0,0,0,0,0
2020-09-30,0,0,0,0,0,0
2020-10-01,0,0,0,0,0,0
2020-10-02,0,0,0,0,0,0
2020-10-03,0,0,0,0,0,0
2020-10-04,0,0,0,0,0,0
2020-10-05,0,0,0,0,0,0
2020-10-06,0,0,0,0,0,0
2020-10-07,0,0,0,0,0,0
2020-10-08,0,0,0,0,0,0
2020-10-09,0,0,0,0,0,0
2020-10-10,0,0,0,0,0,0
2020-10-11,0,0,0,0,0,0
2020-10-12,0,0,0,0,0,0
2020-10-13,0,0,0,0,0,0
2020-10-14,0,0,0,0,0,0
2020-10-15,0,0,0,0,0,0
2020-10-16,0,0,0,0,0,0
2020-10-17,0,0,0,0,0,0
2020-10-18,0,0,0,0,0,0
2020-10-19,0,0,0,0,0,0
2020-10-20,0,0,0,0,0,0
2020-10-21,0,0,0,0,0,0
2020-10-22,0,0,0,0,0,0
2020-10-23,0,0,0,0,0,0
2020-10-24,0,0,0,0,0,0
2020-10-25,0,0,0,0,0,0
2020-10-26,0,0,0,0,0,0
2020-10-27,0,0,0,0,0,0
2020-10-28,0,0,0,0,0,0
2020-10-29,0,0,0,0,0,0
2020-10-30,0,0,0,0,0,0
2020-10-31,0,0,0,0,0,0
2020-11-01,0,0,0,0,0,0
2020-11-02,0,0,0,0,0,0
2020-11-03,0,0,0,0,0,0
2020-11-04,0,0,0,0,0,0
2020-11-05,0,0,0,0,0,0
2020-11-06,0,0,0,0,0,0
2020-11-07,0,0,0,0,0,0
2020-11-08,0,0,0,0,0,0
2020-11-09,0,0,0,0,0,0
2020-11-10,0,0,0,0,0,0
2020-11-11,0,0,0,0,0,0
2020-11-12,0,0,0,0,0,0
2020-11-13,0,0,0,0,0,0
2020-11-14,0,0,0,0,0,0
2020-11-15,0,0,0,0,0,0
2020-11-16,0,0,0,0,0,0
2020-11-17,0,0,0,0,0,0
2020-11-18,0,0,0,0,0,0
2020-11-19,0,0,0,0,0,0
2020-11-20,0,0,0,0,0,0
2020-11-21,0,0,0,0,0,0
2020-11-22,0,0,0,0,0,0
2020-11-23,0,0,0,0,0,0
2020-11-24,0,0,0,0,0,0
2020-11-25,0,0,0,0,0,0
2020-11-26,0,0,0,0,0,0
2020-11-27,0,0,0,0,0,0
2020-11-28,0,0,0,0,0,0
2020-11-29,0,0,0,0,0,0
2020-11-30,0,0,0,0,0,0
2020-12-01,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0
2020-12-04,0,0,0,0,0,0
2020-12-05,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0
2020-12-07,0,0,0,0,0,0
2020-12-08,0,0,0,0,0,0
2020-12-09,0,0,0,0,0,0
2020-12-10,0,0,0,0,0,0
2020-12-11,0,0,0,0,0,0
2020-12-12,0,0,0,0,0,0
2020-12-13,0,0,0,0,0,0
2020-12-14,0,0,0,0,0,0
2020-12-15,0,0,0,0,0,0
2020-12-16,0,0,0,0,0,0
2020-12-17,0,0,0,0,0,0
2020-12-18,0,0,0,0,0,0
2020-12-19,0,0,0,0,0,0
2020-12-20,0,0,0,0,0,0
2020-12-21,0,0,0,0,0,0
2020-12-22,0,0,0,0,0,0
2020-12-23,0,0,0,0,0,0
2020-12-24,0,0,0,0,0,0
2020-12-25,0,0,0,0,0,0
2020-12-26,0,0,0,0,0,0
2020-12-27,0,0,0,0,0,0
2020-12-28,0,0,0,0,0,0
2020-12-29,0,0,0,0,0,0
2020-12-30,0,0,0,0,0,0
2020-12-31,0,0,0,0,0,0
2021-01-01,0,0,0,0,0,0
2021-01-02,0,0,0,0,0,0
2021-01-03,0,0,0,0,0,0
2021-01-04,0,0,0,0,0,0
2021-01-05,0,0,0,0,0,0
2021-01-06,0,0,0,0,0,0
2021-01-07,0,0,0,0,0,0
2021-01-08,0,0,0,0,0,0
2021-01-09,0,0,0,0,0,0
2021-01-10,0,0,0,0,0,0
2021-01-11,0,0,0,0,0,0
2021-01-12,0,0,0,0,0,0
2021-01-13,0,0,0,0,0,0
2021-01-14,0,0,0,0,0,0
2021-01-15,0,0,0,0,0,0
2021-01-16,0,0,0,0,0,0
2021-01-17,0,0,0,0,0,0
2021-01-18,0,0,0,0,0,0
2021-01-19,0,0,0,0,0,0
2021-01-20,0,0,0,0,0,0
2021-01-21,0,0,0,0,0,0
2021-01-22,0,0,0,0,0,0
2021-01-23,0,0,0,0,0,0
2021-01-24,0,0,0,0,0,0
2021-01-25,0,0,0,0,0,0
2021-01-26,0,0,0,0,0,0
2021-01-27,0,0,0,0,0,0
2021-01-28,0,0,0,0,0,0
2021-01-29,0,0,0,0,0,0
2021-01-30,0,0,0,0,0,0
2021-01-31,0,0,0,0,0,0
2021-02-01,0,0,0,0,0,0
2021-02-02,0,0,0,0,0,0
2021-02-03,0,0,0,0,0,0
2021-02-04,0,0,0,0,0,0
2021-02-05,0,0,0,0,0,0
2021-02-06,0,0,0,0,0,0
2021-02-07,0,0,0,0,0,0
2021-02-08,0,0,0,0,0,0
2021-02-09,0,0,0,0,0,0
2021-02-10,0,0,0,0,0,0
2021-02-11,0,0,0,0,0,0
2021-02-12,0,0,0,0,0,0
2021-02-13,0,0,0,0,0,0
2021-02-14,0,0,0,0,0,0
2021-02-15,0,0,0,0,0,0
2021-02-16,0,0,0,0,0,0
2021-02-17,0,0,0,0,0,0
2021-02-18,0,0,0,0,0,0
2021-02-19,0,0,0,0,0,0
2021-02-20,0,0,0,0,0,0
2021-02-21,0,0,0,0,0,0
2021-02-22,0,0,0,0,0,0
2021-02-23,0,0,0,0,0,0
2021-02-24,0,0,0,0,0,0
2021-02-25,0,0,0,0,0,0
2021-02-26,0,0,0,0,0,0
2021-02-27,0,0,0,0,0,0
2021-02-28,0,0,0,0,0,0
2021-03-01,0,0,0,0,0,0
2021-03-02,0,0,0,0,0,0
2021-03-03,0,0,0,0,0,0
2021-03-04,0,0,0,0,0,0
2021-03-05,0,0,0,0,0,0
2021-03-06,0,0,0,0,0,0
2021-03-07,0,0,0,0,0,0
2021-03-08,0,0,0,0,0,0
2021-03-09,0,0,0,0,0,0
2021-03-10,0,0,0,0,0,0
2021-03-11,0,0,0,0,0,0
2021-03-12,0,0,0,0,0,0
2021-03-13,0,0,0,0,0,0
2021-03-14,0,0,0,0,0,0
2021-03-15,0,0,0,0,0,0
2021-03-16,0,0,0,0,0,0
2021-03-17,0,0,0,0,0,0
2021-03-18,0,0,0,0,0,0
2021-03-19,0,0,0,0,0,0
2021-03-20,0,0,0,0,0,0
2021-03-21,0,0,0,0,0,0
2021-03-22,0,0,0,0,0,0
2021-03-23,0,0,0,0,0,0
2021-03-24,0,0,0,0,0,0
2021-03-25,0,0,0,0,0,0
2021-03-26,0,0,0,0,0,0
2021-03-27,0,0,0,0,0,0
2021-03-28,0,0,0,0,0,0
2021-03-29,0,0,0,0,0,0
2021-03-30,0,0,0,0,0,0
2021-03-31,0,0,0,0,0,0
2021-04-01,0,0,0,0,0,0
2021-04-02,0,0,0,0,0,0
2021-04-03,0,0,0,0,0,0
2021-04-04,0,0,0,0,0,0
2021-04-05,0,0,0,0,0,0
2021-04-06,0,0,0,0,0,0
2021-04-07,0,0,0,0,0,0
2021-04-08,0,0,0,0,0,0
2021-04-09,#N/A,#N/A,#N/A,#N/A,#N/A,88.15555556
2021-04-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-04-11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-04-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-04-13,#N/A,#N/A,#N/A,#N/A,#N/A,80.70670391
2021-04-14,#N/A,#N/A,#N/A,#N/A,#N/A,85.73939394
2021-04-15,22.99904762,4.380952381,2.06047619,7.313095238,7.313095238,88.75925926
2021-04-16,16.44356842,4.10877193,1.506315789,5.924140351,5.924140351,93.45714286
2021-04-17,15.40375,3.783333333,1.423083333,4.866041667,4.866041667,#N/A
2021-04-18,18.01377778,4.084444444,1.534222222,5.277822222,5.277822222,#N/A
2021-04-19,17.73721212,3.721212121,1.587272727,5.162060606,5.162060606,#N/A
2021-04-20,#N/A,#N/A,#N/A,#N/A,#N/A,119.4541667
2021-04-21,#N/A,#N/A,#N/A,#N/A,#N/A,97.35555556
2021-04-22,#N/A,#N/A,#N/A,#N/A,#N/A,122.3137255
2021-04-23,#N/A,#N/A,#N/A,#N/A,#N/A,102.1719457
2021-04-24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-04-25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-04-26,#N/A,#N/A,#N/A,#N/A,#N/A,101.0074074
2021-04-27,#N/A,#N/A,#N/A,#N/A,#N/A,111.7393939
2021-04-28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-04-29,#N/A,#N/A,#N/A,#N/A,#N/A,136.2711111
2021-04-30,#N/A,#N/A,#N/A,#N/A,#N/A,137.575
2021-05-01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-05-02,27.42535885,4.555023923,2.528229665,8.243062201,8.243062201,#N/A
2021-05-03,23.85684211,4.656140351,1.867017544,7.143298246,7.143298246,115.8806452
2021-05-04,22.88368984,4.355614973,1.681550802,6.483582888,6.483582888,134.7571429
2021-05-05,20.98657718,4.100671141,1.812751678,5.691624161,5.691624161,#N/A
2021-05-06,#N/A,#N/A,#N/A,#N/A,#N/A,130.1277778
2021-05-07,#N/A,#N/A,#N/A,#N/A,#N/A,117.3416667
2021-05-08,26.13272727,4.424242424,2.106666667,6.664484848,6.664484848,#N/A
2021-05-09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-05-10,#N/A,#N/A,#N/A,#N/A,#N/A,131.5333333
2021-05-11,#N/A,#N/A,#N/A,#N/A,#N/A,120.96
2021-05-12,#N/A,#N/A,#N/A,#N/A,#N/A,115.4153846
2021-05-13,#N/A,#N/A,#N/A,#N/A,#N/A,126.3058824
2021-05-14,#N/A,#N/A,#N/A,#N/A,#N/A,110.7
2021-05-15,35.22020725,5.440414508,3.393229167,10.37279793,10.37279793,#N/A
2021-05-16,32.97951482,5.48787062,2.155795148,9.733261456,9.733261456,#N/A
2021-05-17,32.45803571,5.34375,2.062946429,8.429107143,8.429107143,#N/A
2021-05-18,38.37391304,5.964426877,2.663241107,9.727035573,9.727035573,#N/A
2021-05-19,33.73059701,5.134328358,2.375373134,8.862313433,8.862313433,#N/A
2021-05-20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-05-21,#N/A,#N/A,#N/A,#N/A,#N/A,109.7616708
2021-05-22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-05-23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-05-24,#N/A,#N/A,#N/A,#N/A,#N/A,88.24444444
2021-05-25,#N/A,#N/A,#N/A,#N/A,#N/A,87.42666667
2021-05-26,#N/A,#N/A,#N/A,#N/A,#N/A,84.91237113
2021-05-27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-05-28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-05-29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-05-30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-05-31,51.42722772,6.534653465,6.709405941,14.14336634,14.14336634,79.51341772
2021-06-01,#N/A,#N/A,#N/A,#N/A,#N/A,66.56756757
2021-06-02,57.9929078,7.014184397,6.195744681,15.45624113,15.45624113,48.57480315
2021-06-03,#N/A,#N/A,#N/A,#N/A,#N/A,44.4
2021-06-04,#N/A,#N/A,#N/A,#N/A,#N/A,62.30625
2021-06-05,59.54959128,7.444141689,5.90027248,14.37550409,14.37550409,#N/A
2021-06-06,60.67295775,7.35,6.677464789,13.95602113,13.95602113,#N/A
2021-06-07,59.29751553,6.931677019,6.582608696,13.26540373,13.26540373,#N/A
2021-06-08,0,0,0,0,0,0
2021-06-09,0,0,0,0,0,0
2021-06-10,0,0,0,0,0,0
2021-06-11,0,0,0,0,0,0
2021-06-12,0,0,0,0,0,0
2021-06-13,0,0,0,0,0,0
2021-06-14,0,0,0,0,0,0
2021-06-15,0,0,0,0,0,0
2021-06-16,0,0,0,0,0,0
2021-06-17,0,0,0,0,0,0
2021-06-18,0,0,0,0,0,0
2021-06-19,0,0,0,0,0,0
2021-06-20,0,0,0,0,0,0
2021-06-21,0,0,0,0,0,0
2021-06-22,0,0,0,0,0,0
2021-06-23,0,0,0,0,0,0
2021-06-24,0,0,0,0,0,0
2021-06-25,0,0,0,0,0,0
2021-06-26,0,0,0,0,0,0
2021-06-27,0,0,0,0,0,0
2021-06-28,0,0,0,0,0,0
2021-06-29,0,0,0,0,0,0
2021-06-30,0,0,0,0,0,0
2021-07-01,0,0,0,0,0,0
2021-07-02,0,0,0,0,0,0
2021-07-03,0,0,0,0,0,0
2021-07-04,0,0,0,0,0,0
2021-07-05,0,0,0,0,0,0
2021-07-06,0,0,0,0,0,0
2021-07-07,0,0,0,0,0,0
2021-07-08,0,0,0,0,0,0
2021-07-09,0,0,0,0,0,0
2021-07-10,0,0,0,0,0,0
2021-07-11,0,0,0,0,0,0
2021-07-12,0,0,0,0,0,0
2021-07-13,0,0,0,0,0,0
2021-07-14,0,0,0,0,0,0
2021-07-15,0,0,0,0,0,0
2021-07-16,0,0,0,0,0,0
2021-07-17,0,0,0,0,0,0
2021-07-18,0,0,0,0,0,0
2021-07-19,0,0,0,0,0,0
2021-07-20,0,0,0,0,0,0
2021-07-21,0,0,0,0,0,0
2021-07-22,0,0,0,0,0,0
2021-07-23,0,0,0,0,0,0
2021-07-24,0,0,0,0,0,0
2021-07-25,0,0,0,0,0,0
2021-07-26,0,0,0,0,0,0
2021-07-27,0,0,0,0,0,0
2021-07-28,0,0,0,0,0,0
2021-07-29,0,0,0,0,0,0
2021-07-30,0,0,0,0,0,0
2021-07-31,0,0,0,0,0,0
2021-08-01,0,0,0,0,0,0
2021-08-02,0,0,0,0,0,0
2021-08-03,0,0,0,0,0,0
2021-08-04,0,0,0,0,0,0
2021-08-05,0,0,0,0,0,0
2021-08-06,0,0,0,0,0,0
2021-08-07,0,0,0,0,0,0
2021-08-08,0,0,0,0,0,0
2021-08-09,0,0,0,0,0,0
2021-08-10,0,0,0,0,0,0
2021-08-11,0,0,0,0,0,0
2021-08-12,0,0,0,0,0,0
2021-08-13,0,0,0,0,0,0
2021-08-14,0,0,0,0,0,0
2021-08-15,0,0,0,0,0,0
2021-08-16,0,0,0,0,0,0
2021-08-17,0,0,0,0,0,0
2021-08-18,0,0,0,0,0,0
2021-08-19,0,0,0,0,0,0
2021-08-20,0,0,0,0,0,0
2021-08-21,0,0,0,0,0,0
2021-08-22,0,0,0,0,0,0
2021-08-23,0,0,0,0,0,0
2021-08-24,0,0,0,0,0,0
2021-08-25,0,0,0,0,0,0
2021-08-26,0,0,0,0,0,0
2021-08-27,0,0,0,0,0,0
2021-08-28,0,0,0,0,0,0
2021-08-29,0,0,0,0,0,0
2021-08-30,0,0,0,0,0,0
2021-08-31,0,0,0,0,0,0
2021-09-01,0,0,0,0,0,0
2021-09-02,0,0,0,0,0,0
2021-09-03,0,0,0,0,0,0
2021-09-04,0,0,0,0,0,0
2021-09-05,0,0,0,0,0,0
2021-09-06,0,0,0,0,0,0
2021-09-07,0,0,0,0,0,0
2021-09-08,0,0,0,0,0,0
2021-09-09,0,0,0,0,0,0
2021-09-10,0,0,0,0,0,0
2021-09-11,0,0,0,0,0,0
2021-09-12,0,0,0,0,0,0
2021-09-13,0,0,0,0,0,0
2021-09-14,0,0,0,0,0,0
2021-09-15,0,0,0,0,0,0
2021-09-16,0,0,0,0,0,0
2021-09-17,0,0,0,0,0,0
2021-09-18,0,0,0,0,0,0
2021-09-19,0,0,0,0,0,0
2021-09-20,0,0,0,0,0,0
2021-09-21,0,0,0,0,0,0
2021-09-22,0,0,0,0,0,0
2021-09-23,0,0,0,0,0,0
2021-09-24,0,0,0,0,0,0
2021-09-25,0,0,0,0,0,0
2021-09-26,0,0,0,0,0,0
2021-09-27,0,0,0,0,0,0
2021-09-28,0,0,0,0,0,0
2021-09-29,0,0,0,0,0,0
2021-09-30,0,0,0,0,0,0
2021-10-01,0,0,0,0,0,0
2021-10-02,0,0,0,0,0,0
2021-10-03,0,0,0,0,0,0
2021-10-04,0,0,0,0,0,0
2021-10-05,0,0,0,0,0,0
2021-10-06,0,0,0,0,0,0
2021-10-07,0,0,0,0,0,0
2021-10-08,0,0,0,0,0,0
2021-10-09,0,0,0,0,0,0
2021-10-10,0,0,0,0,0,0
2021-10-11,0,0,0,0,0,0
2021-10-12,0,0,0,0,0,0
2021-10-13,0,0,0,0,0,0
2021-10-14,0,0,0,0,0,0
2021-10-15,0,0,0,0,0,0
2021-10-16,0,0,0,0,0,0
2021-10-17,0,0,0,0,0,0
2021-10-18,0,0,0,0,0,0
2021-10-19,0,0,0,0,0,0
2021-10-20,0,0,0,0,0,0
2021-10-21,0,0,0,0,0,0
2021-10-22,0,0,0,0,0,0
2021-10-23,0,0,0,0,0,0
2021-10-24,0,0,0,0,0,0
2021-10-25,0,0,0,0,0,0
2021-10-26,0,0,0,0,0,0
2021-10-27,0,0,0,0,0,0
2021-10-28,0,0,0,0,0,0
2021-10-29,0,0,0,0,0,0
2021-10-30,0,0,0,0,0,0
2021-10-31,0,0,0,0,0,0
2021-11-01,0,0,0,0,0,0
2021-11-02,0,0,0,0,0,0
2021-11-03,0,0,0,0,0,0
2021-11-04,0,0,0,0,0,0
2021-11-05,0,0,0,0,0,0
2021-11-06,0,0,0,0,0,0
2021-11-07,0,0,0,0,0,0
2021-11-08,0,0,0,0,0,0
2021-11-09,0,0,0,0,0,0
2021-11-10,0,0,0,0,0,0
2021-11-11,0,0,0,0,0,0
2021-11-12,0,0,0,0,0,0
2021-11-13,0,0,0,0,0,0
2021-11-14,0,0,0,0,0,0
2021-11-15,0,0,0,0,0,0
2021-11-16,0,0,0,0,0,0
2021-11-17,0,0,0,0,0,0
2021-11-18,0,0,0,0,0,0
2021-11-19,0,0,0,0,0,0
2021-11-20,0,0,0,0,0,0
2021-11-21,0,0,0,0,0,0
2021-11-22,0,0,0,0,0,0
2021-11-23,0,0,0,0,0,0
2021-11-24,0,0,0,0,0,0
2021-11-25,0,0,0,0,0,0
2021-11-26,0,0,0,0,0,0
2021-11-27,0,0,0,0,0,0
2021-11-28,0,0,0,0,0,0
2021-11-29,0,0,0,0,0,0
2021-11-30,0,0,0,0,0,0
2021-12-01,0,0,0,0,0,0
2021-12-02,0,0,0,0,0,0
2021-12-03,0,0,0,0,0,0
